year,kr_words,en_words,etc_words,kr_words_ratio,en_words_ratio,etc_words_ratio,kr_ratio,en_ratio
1964,1907,0,26,0.8958073182164366,0.0,0.013283590874472583,1.0,0.0
1965,1072,0,8,0.5841967865394877,0.0,0.00403850757815935,1.0,0.0
1966,2653,0,22,0.8511745948949577,0.0,0.005968262247899465,1.0,0.0
1967,4167,0,47,0.8431634980347995,0.0,0.010495038550566308,1.0,0.0
1968,2730,80,47,0.8965587402075209,0.01543276885222174,0.016579919511685918,0.9830779467803019,0.016922053219698092
1969,3823,0,39,0.873287850794239,0.0,0.009065090382231631,1.0,0.0
1970,2434,0,21,0.7632333092220241,0.0,0.005997460008745092,1.0,0.0
1971,3118,42,63,0.7881481592566149,0.007954545454545454,0.016397295288839635,0.9900081416537437,0.00999185834625634
1972,4834,0,54,0.8772449445515882,0.0,0.009118691812048064,1.0,0.0
1973,5535,0,71,0.8857672845147343,0.0,0.011668612921163248,1.0,0.0
1974,5137,0,40,0.9189253615924327,0.0,0.007903906700250325,1.0,0.0
1975,4679,1,35,0.888326654781525,0.00020721094073767094,0.0062029763830006345,0.9997667945491653,0.00023320545083471337
1976,3718,0,34,0.7119303059063424,0.0,0.006018412042375595,1.0,0.0
1977,4305,0,32,0.9069879683492031,0.0,0.007297745936511284,1.0,0.0
1978,5672,0,36,0.8480484421368909,0.0,0.006118224529775811,1.0,0.0
1979,6294,20,32,0.9004738136149776,0.0016093988895147663,0.00489353168155424,0.9982159086133013,0.0017840913866987095
1980,4222,0,32,0.8607167750948191,0.0,0.005949891571847504,1.0,0.0
1981,6366,32,90,0.9571264016464085,0.005633802816901409,0.012239795536690292,0.9941482803393998,0.005851719660600189
1982,6343,16,52,0.963831533662832,0.00208691946960288,0.008440521226539564,0.9978394454906259,0.00216055450937404
1983,4727,0,34,0.9555650276972936,0.0,0.007397935265669237,1.0,0.0
1984,13001,40,57,0.9207558298521773,0.002150114974155382,0.003923323466350195,0.9976702772517518,0.0023297227482481746
1985,17761,54,163,0.9386260078115266,0.002436171201884336,0.008937820986588936,0.9974112537341174,0.0025887462658826274
1986,17686,121,107,0.9580664378184152,0.004879032258064516,0.007054529923520533,0.9949332206135442,0.005066779386455819
1987,17893,183,110,0.9544575967606431,0.009333053121418734,0.006209350117938178,0.9903163066350967,0.009683693364903271
1988,17323,126,106,0.9401519793455881,0.0036756130139403748,0.006172407640471488,0.9961056308973215,0.003894369102678488
1989,17558,106,112,0.8965399667597315,0.004849802705775236,0.005826725379854033,0.9946196386179854,0.005380361382014579
1990,18467,72,137,0.9109787177824664,0.002653973588689973,0.006367308628843604,0.9970951416102384,0.0029048583897615986
1991,19424,61,99,0.8931922776789013,0.002109401498566187,0.004698320822532557,0.9976439209848191,0.0023560790151808254
1992,20946,142,106,0.889028096071824,0.00527762628812874,0.004684176629946116,0.9940986329885022,0.005901367011497805
1993,21577,331,130,0.9114405817469271,0.011359755848534376,0.0057710909759670975,0.9876899093056961,0.012310090694303888
1994,24375,466,154,0.9394256788444794,0.014140832201431615,0.006029448550048692,0.9851705863852943,0.014829413614705668
1995,26141,663,162,0.9137374631817281,0.02005336481704358,0.006209172001228376,0.9785247785523655,0.021475221447634477
1996,29308,419,203,0.9440497043824604,0.009317128732049061,0.006633166885490531,0.9902271314582957,0.009772868541704319
1997,31534,756,234,0.9653259635113148,0.018677237549008758,0.005996798939676315,0.9810191292783571,0.01898087072164287
1998,29582,1314,165,0.9466419557609765,0.038513767267119754,0.004844276971903666,0.960905909221398,0.03909409077860207
1999,32061,2209,203,0.9186738340765094,0.04648345855761451,0.004842707365876207,0.9518384631061005,0.048161536893899494
2000,31728,2100,280,0.9340541458411908,0.04849665983832854,0.0074491943204806135,0.950642084299357,0.04935791570064296
2001,30386,2698,327,0.9284142070349306,0.06373997032427622,0.007845822640793025,0.9357559825087555,0.06424401749124455
2002,32088,2778,387,0.9254614313889169,0.0650685203155214,0.009470048295561796,0.9343093864011321,0.06569061359886776
2003,32233,2940,422,0.9139576739684279,0.07541482074562719,0.010627505285944893,0.9237750987130248,0.07622490128697515
2004,32135,3118,523,0.9099035488947682,0.07854665422774772,0.011549796877484085,0.9205355474867437,0.0794644525132563
2005,33740,2529,490,0.9393121040818119,0.049942947461018114,0.010744948457170096,0.9495145894042919,0.05048541059570806
2006,32396,2281,318,0.9426529315817095,0.04969498365172575,0.007652084766564743,0.9499218138226897,0.05007818617731034
2007,32962,1500,286,0.951424681191372,0.031018112023924543,0.007557206784703298,0.9684275641918958,0.031572435808104204
2008,36234,5393,536,0.8780192684624475,0.11127183051947538,0.010708901018077062,0.887523671612951,0.11247632838704902
2009,35406,6548,536,0.8523726022500284,0.13625232009303562,0.011375077656935885,0.8621799663211863,0.13782003367881365
2010,33950,6950,561,0.8230896034331061,0.1450967243073167,0.011813672259577244,0.8501355367763279,0.14986446322367208
2011,32544,6838,565,0.8244951878818603,0.15227896137600516,0.013225850742134487,0.8441001315486247,0.1558998684513752
2012,33344,5822,730,0.8462248709625912,0.1275102192549446,0.01626490978246441,0.8690504013504757,0.13094959864952424
2013,34685,4772,552,0.8838426259088726,0.10369982837624754,0.012457545714879645,0.894992030037518,0.10500796996248188
2014,35178,4072,427,0.864828548192253,0.09478219393730296,0.010389257870444113,0.9012284984149266,0.09877150158507347
2015,33426,6462,569,0.8087493481557441,0.12925735624711748,0.01199329559713847,0.8621999654795611,0.13780003452043896
2016,26754,3531,306,0.7054012790075902,0.0775381619065199,0.007060559085889971,0.9009653137208272,0.09903468627917288
2017,35651,4358,517,0.8815456497984684,0.09643355904825196,0.012020791153279652,0.9013950826603246,0.09860491733967536
2018,33723,5826,589,0.8630321640689523,0.12359019612545932,0.013377639805588417,0.8747340409950711,0.12526595900492887
2019,31096,4690,591,0.8734774570626009,0.10233542796292296,0.014187114974476125,0.8951280214338979,0.10487197856610206
2020,29931,5448,653,0.8547769743815828,0.1201804161385272,0.015042609479889996,0.8767326476961064,0.12326735230389362
2021,31212,6198,765,0.8465826801297399,0.13672696309628313,0.016690356773976966,0.8609522808627077,0.13904771913729227
2022,28480,9536,1201,0.7637419259266196,0.21059158695816713,0.025666487115213375,0.783860881132322,0.21613911886767792
2023,26066,11579,1413,0.7145749638300845,0.25532693249739485,0.030098103672520783,0.7367497336955553,0.2632502663044447
